id,name,class,level,STR,AGI,CON,WIL,CHA,FOC,max_hp,max_mana,hp_per_level,mana_per_level,weapon,kind,to_hit,dmg_min,dmg_max,dmg_mean,armor,dodge_bonus,dodge_dc_offered,block,block_chance,note
generalist,Generalist,Fighter,1,12,12,12,12,12,12,131,118,7,0,bronze_sword,melee,3,2,9,5.5,4,1,12,0,0,the 'just bump everything' new player; upgrades late
generalist,Generalist,Fighter,5,13,12,12,12,12,12,161,118,7,0,bronze_sword,melee,8,4,11,7.5,4,1,15,0,0,the 'just bump everything' new player; upgrades late
generalist,Generalist,Fighter,10,14,12,12,12,12,12,198,118,7,0,bronze_sword,melee,15,9,18,13.5,7,1,19,0,0,the 'just bump everything' new player; upgrades late
generalist,Generalist,Fighter,20,17,12,12,12,12,12,274,118,7,0,bronze_sword,melee,28,15,24,19.5,7,1,27,0,0,the 'just bump everything' new player; upgrades late
str_fighter,STR Fighter,Fighter,1,16,12,14,10,10,10,151,100,8,0,bronze_sword,melee,5,4,11,7.5,4,1,12,3,25,"sword + shield front-liner; buys chain at 6, loots plate at 12"
str_fighter,STR Fighter,Fighter,5,17,12,14,10,10,10,185,100,8,0,bronze_sword,melee,10,6,13,9.5,4,1,15,3,25,"sword + shield front-liner; buys chain at 6, loots plate at 12"
str_fighter,STR Fighter,Fighter,10,18,12,14,10,10,10,227,100,8,0,bronze_sword,melee,17,11,20,15.5,7,1,19,3,25,"sword + shield front-liner; buys chain at 6, loots plate at 12"
str_fighter,STR Fighter,Fighter,20,21,12,14,10,10,10,313,100,8,0,bronze_sword,melee,30,19,29,24.0,9,0,26,6,35,"sword + shield front-liner; buys chain at 6, loots plate at 12"
tank,Tank Fighter,Fighter,1,12,12,18,10,10,10,167,100,10,0,bronze_sword,melee,3,2,9,5.5,4,1,12,3,25,"max CON, sword + shield"
tank,Tank Fighter,Fighter,5,12,12,19,10,10,10,213,100,10,0,bronze_sword,melee,8,4,11,7.5,4,1,15,3,25,"max CON, sword + shield"
tank,Tank Fighter,Fighter,10,12,12,20,10,10,10,278,100,11,0,bronze_sword,melee,14,8,17,12.5,7,1,19,3,25,"max CON, sword + shield"
tank,Tank Fighter,Fighter,20,12,12,23,10,10,10,425,100,12,0,bronze_sword,melee,26,15,25,20.0,9,0,26,6,35,"max CON, sword + shield"
brute,Brute (pickaxe),Fighter,1,18,10,16,8,10,10,167,88,9,0,pickaxe,melee,6,5,8,6.5,4,1,11,0,0,dumps WIL; never upgrades the tool — the trap build
