adv_id,adv_name,level,weapon,creature_id,creature_name,creature_level,player_hit_pct,player_dmg_per_hit,player_dps,ttk_player_turns,creature_hit_pct,creature_dmg_per_hit,creature_dps,ttk_creature_turns,ttk_ratio,predicted_winner,mc_player_winrate,mc_mean_ttk_turns
generalist,Generalist,1,bronze_sword,rat,Giant Rat,1,65.0,5.92,3.85,5.2,30.0,1.0,0.3,436.7,0.01,player,1.0,6.0
generalist,Generalist,1,bronze_sword,archer_goblin,Archer Goblin,2,60.0,5.96,3.57,9.5,55.0,1.0,0.55,238.2,0.04,player,,
generalist,Generalist,1,bronze_sword,goblin,Goblin,2,65.0,5.92,3.85,10.4,45.0,1.0,0.45,291.1,0.04,player,,
generalist,Generalist,1,bronze_sword,goblin_mage,Goblin Mage,3,60.0,5.96,3.57,10.6,55.0,1.0,0.55,238.2,0.04,player,,
generalist,Generalist,1,bronze_sword,skeleton,Skeleton,3,65.0,4.66,3.03,17.2,45.0,3.22,1.45,90.3,0.19,player,,
generalist,Generalist,1,bronze_sword,wild_boar,Wild Boar,4,55.0,6.0,3.3,18.8,65.0,4.08,2.65,49.4,0.38,player,,
generalist,Generalist,1,bronze_sword,orc_brute,Orc Brute,5,60.0,4.96,2.97,24.5,70.0,5.11,3.58,36.6,0.67,player,,
generalist,Generalist,1,bronze_sword,fire_elemental,Fire Elemental,6,45.0,5.11,2.3,37.8,70.0,6.71,4.7,27.9,1.36,creature,,
generalist,Generalist,1,bronze_sword,dire_wolf,Dire Wolf,7,30.0,6.42,1.93,50.4,75.0,7.73,5.8,22.6,2.23,creature,,
generalist,Generalist,1,bronze_sword,cyclops,Cyclops,8,55.0,6.0,3.3,45.8,95.0,8.63,8.2,16.0,2.86,creature,,
generalist,Generalist,1,bronze_sword,ogre,Ogre,9,50.0,4.05,2.03,82.0,95.0,10.74,10.2,12.8,6.38,creature,,
generalist,Generalist,1,bronze_sword,ogre_brute,Ogre Brute,10,45.0,4.11,1.85,97.8,95.0,11.79,11.2,11.7,8.36,creature,,
generalist,Generalist,1,bronze_sword,stone_golem,Stone Golem,10,50.0,3.05,1.53,119.3,95.0,11.79,11.2,11.7,10.2,creature,,
generalist,Generalist,1,bronze_sword,dire_wight,Dire Wight,12,15.0,4.33,0.65,230.8,95.0,14.95,14.2,9.2,25.01,creature,,
generalist,Generalist,1,bronze_sword,wraith,Wraith,12,10.0,6.25,0.62,240.0,95.0,14.95,14.2,9.2,26.02,creature,,
generalist,Generalist,1,bronze_sword,troll,Troll,14,25.0,3.6,0.9,268.9,95.0,17.58,16.7,7.8,34.28,creature,,
generalist,Generalist,1,bronze_sword,young_dragon,Young Dragon,16,5.0,6.0,0.3,906.7,95.0,19.68,18.7,7.0,129.42,creature,,
generalist,Generalist,1,bronze_sword,demon,Demon,18,5.0,5.76,0.29,770.8,95.0,22.84,21.7,6.0,127.69,creature,,
generalist,Generalist,1,bronze_sword,ancient_dragon,Ancient Dragon,20,5.0,5.0,0.25,968.0,95.0,25.47,24.2,5.4,178.82,creature,,
generalist,Generalist,5,bronze_sword,rat,Giant Rat,1,90.0,7.92,7.12,2.8,15.0,1.0,0.15,1073.3,0.0,player,,
generalist,Generalist,5,bronze_sword,archer_goblin,Archer Goblin,2,85.0,7.94,6.75,5.0,40.0,1.06,0.43,378.8,0.01,player,,
generalist,Generalist,5,bronze_sword,goblin,Goblin,2,90.0,7.92,7.12,5.6,30.0,1.25,0.38,429.3,0.01,player,,
generalist,Generalist,5,bronze_sword,goblin_mage,Goblin Mage,3,85.0,7.94,6.75,5.6,40.0,1.0,0.4,402.5,0.01,player,,
generalist,Generalist,5,bronze_sword,skeleton,Skeleton,3,90.0,6.66,5.99,8.7,30.0,3.58,1.08,149.8,0.06,player,,
